订单编号,支付单号,买家实付,订单状态,订单创建时间,商家备注,卖家实退,手续费,渠道,确认收货时间,打款商家金额
47512756515702654124025,2025063022001424021424570038,800.0,成功,2025-06-30 17:27:31, ,0.0,4.8,支付宝,,
47512714306702263352859,2025063022001452851422033194,80.0,成功,2025-06-30 16:17:09, ,0.0,0.0,支付宝,,
47512489801912277478010,2025063022001478011458246575,100.0,成功,2025-06-30 10:03:01, ,0.0,0.0,支付宝,,
47510881313122154397349,2025062822001497341409859200,140.0,成功,2025-06-28 13:22:12, ,0.0,0.0,支付宝,,
47504098617902471551903,2025062022001451901414434256,200.0,成功,2025-06-20 16:57:41, ,0.0,1.2,支付宝,,
47500705480422240966021,2025061622001466021438586170,420.0,成功,2025-06-16 18:42:28, ,0.0,0.0,支付宝,,
47500483506912277478010,2025061622001478011434190067,100.0,成功,2025-06-16 12:32:30, ,0.0,0.0,支付宝,,
47498962878932102815849,2025061422001415841422613945,200.0,成功,2025-06-14 18:18:08, ,0.0,1.2,支付宝,,
47495221281932102815849,2025061022001415841459082845,200.0,成功,2025-06-10 10:22:08, ,0.0,0.0,支付宝,,
47492607867932102815849,2025060722001415841440303484,200.0,成功,2025-06-07 09:46:27, ,0.0,0.0,支付宝,,
47491139290712822044086,2025060522001444081452375162,380.0,成功,2025-06-05 16:58:49, ,0.0,0.0,支付宝,,
47489209533112900294341,2025060322001494341409960100,3100.0,成功,2025-06-03 11:22:33, ,0.0,18.6,支付宝,,
